"","DMU","Year","Fawn","Yearling","Adult","Total"
"1","Unit 1","2005",55,427,414,896
"2","Unit 1","2006",76,600,549,1225
"3","Unit 1","2007",27,237,266,530
"4","Unit 1","2008",74,397,465,936
"5","Unit 1","2009",38,262,365,665
"6","Unit 1","2010",40,305,392,737
"7","Unit 1","2011",27,350,393,770
"8","Unit 1","2012",24,310,413,747
"9","Unit 1","2013",19,253,327,599
"10","Unit 1","2014",15,191,319,525
"11","Unit 1","2015",16,141,239,396
"12","Unit 1","2016",5,155,260,420
"13","Unit 1","2017",2,86,130,218
"14","Unit 1","2018",35,205,412,652
"15","Unit 1","2019",17,221,601,839
"16","Unit 1","2020",15,114,323,452
"17","Unit 1","2021",2,103,366,471
"18","Unit 1","2022",3,41,154,198
"19","Unit 1","2023",1,54,246,301
"20","Unit 2","2005",136,622,731,1489
"21","Unit 2","2006",142,598,733,1473
"22","Unit 2","2007",181,387,459,1027
"23","Unit 2","2008",119,443,742,1304
"24","Unit 2","2009",57,242,658,957
"25","Unit 2","2010",81,274,424,779
"26","Unit 2","2011",60,237,358,655
"27","Unit 2","2012",83,330,529,942
"28","Unit 2","2013",34,172,285,491
"29","Unit 2","2014",44,171,371,586
"30","Unit 2","2015",39,189,414,642
"31","Unit 2","2016",9,94,276,379
"32","Unit 2","2017",9,108,280,397
"33","Unit 2","2018",26,148,486,660
"34","Unit 2","2019",20,101,414,535
"35","Unit 2","2020",16,53,308,377
"36","Unit 2","2021",10,103,382,495
"37","Unit 2","2022",4,52,186,242
"38","Unit 2","2023",10,77,392,479
"39","Unit 3","2005",75,478,337,890
"40","Unit 3","2006",85,451,312,848
"41","Unit 3","2007",76,360,271,707
"42","Unit 3","2008",66,219,149,434
"43","Unit 3","2009",57,178,177,412
"44","Unit 3","2010",62,250,242,554
"45","Unit 3","2011",32,170,175,377
"46","Unit 3","2012",33,242,225,500
"47","Unit 3","2013",26,188,200,414
"48","Unit 3","2014",37,203,273,513
"49","Unit 3","2015",40,192,244,476
"50","Unit 3","2016",26,190,262,478
"51","Unit 3","2017",29,146,119,294
"52","Unit 3","2018",35,186,320,541
"53","Unit 3","2019",35,135,241,411
"54","Unit 3","2020",20,123,206,349
"55","Unit 3","2021",11,89,193,293
"56","Unit 3","2022",10,73,154,237
"57","Unit 3","2023",8,85,205,298
"58","Unit 4","2005",80,233,415,728
"59","Unit 4","2006",105,318,556,979
"60","Unit 4","2007",124,275,426,825
"61","Unit 4","2008",75,361,552,988
"62","Unit 4","2009",52,220,460,732
"63","Unit 4","2010",46,207,459,712
"64","Unit 4","2011",55,184,402,641
"65","Unit 4","2012",61,216,363,640
"66","Unit 4","2013",50,131,275,456
"67","Unit 4","2014",38,184,420,642
"68","Unit 4","2015",50,169,382,601
"69","Unit 4","2016",25,161,271,457
"70","Unit 4","2017",37,120,238,395
"71","Unit 4","2018",18,86,304,408
"72","Unit 4","2019",17,98,349,464
"73","Unit 4","2020",10,76,311,397
"74","Unit 4","2021",10,76,292,378
"75","Unit 4","2022",24,77,276,377
"76","Unit 4","2023",23,57,266,346
"77","Unit 5","2005",59,181,269,509
"78","Unit 5","2006",62,143,208,413
"79","Unit 5","2007",75,191,205,471
"80","Unit 5","2008",52,186,199,437
"81","Unit 5","2009",64,193,196,453
"82","Unit 5","2010",74,157,181,412
"83","Unit 5","2011",49,173,168,390
"84","Unit 5","2012",37,188,187,412
"85","Unit 5","2013",48,136,120,304
"86","Unit 5","2014",44,205,261,510
"87","Unit 5","2015",31,130,150,311
"88","Unit 5","2016",21,113,173,307
"89","Unit 5","2017",23,90,113,226
"90","Unit 5","2018",17,119,222,358
"91","Unit 5","2019",24,115,204,343
"92","Unit 5","2020",9,81,173,263
"93","Unit 5","2021",7,100,189,296
"94","Unit 5","2022",10,93,236,339
"95","Unit 5","2023",16,102,218,336
"96","Unit 6","2005",47,217,195,459
"97","Unit 6","2006",18,219,197,434
"98","Unit 6","2007",14,194,144,352
"99","Unit 6","2008",14,176,186,376
"100","Unit 6","2009",11,121,150,282
"101","Unit 6","2010",21,115,141,277
"102","Unit 6","2011",17,85,94,196
"103","Unit 6","2012",18,138,100,256
"104","Unit 6","2013",2,71,37,110
"105","Unit 6","2014",10,109,176,295
"106","Unit 6","2015",5,52,75,132
"107","Unit 6","2016",3,76,90,169
"108","Unit 6","2017",2,83,80,165
"109","Unit 6","2018",6,55,91,152
"110","Unit 6","2019",6,42,80,128
"111","Unit 6","2020",3,76,100,179
"112","Unit 6","2021",1,27,34,62
"113","Unit 6","2022",1,16,23,40
"114","Unit 6","2023",1,3,16,20
