"","year","DMU","Bag","Harv_est","SD_harv_est","CL"
"1",2023,"4","Antlered",11070,552.2727273,1944
"2",2023,"6","Antlered",14578,692.0454545,2436
"3",2023,"5","Antlered",12127,542.3295455,1909
"4",2023,"2","Antlered",26008,579.6875,2040.5
"5",2023,"3","Antlered",27137,533.0965909,1876.5
"6",2023,"State","Antlered",112419,1693.181818,5960
"7",2023,"1","Antlered",19524,527.5568182,1857
"8",2023,"4","Antlerless",4352,447.1590909,1574
"9",2023,"6","Antlerless",6642,523.8636364,1844
"10",2023,"5","Antlerless",9894,592.3295455,2085
"11",2023,"2","Antlerless",22847,703.8352273,2477.5
"12",2023,"3","Antlerless",19855,655.1136364,2306
"13",2023,"State","Antlerless",78851,1854.261364,6527
"14",2023,"1","Antlerless",14113,561.2215909,1975.5
"15",2022,"4","Antlered",10546,416.5816327,1633
"16",2022,"6","Antlered",12104,482.9081633,1893
"17",2022,"5","Antlered",10659,442.0918367,1733
"18",2022,"2","Antlered",25467,459.9489796,1803
"19",2022,"3","Antlered",12554,450.5102041,1766
"20",2022,"State","Antlered",104809,1301.530612,5102
"21",2022,"1","Antlered",18687,398.2142857,1561
"22",2022,"4","Antlerless",7079,463.5204082,1817
"23",2022,"6","Antlerless",6084,380.1020408,1490
"24",2022,"5","Antlerless",8890,439.0306122,1721
"25",2022,"2","Antlerless",26351,636.7346939,2496
"26",2022,"3","Antlerless",22113,577.9336735,2265.5
"27",2022,"State","Antlerless",88202,1641.071429,6433
"28",2022,"1","Antlerless",15112,489.0306122,1917
"29",2021,"4","Antlered",8481,390.0510204,1529
"30",2021,"6","Antlered",12181,448.9795918,1760
"31",2021,"5","Antlered",8487,402.0408163,1576
"32",2021,"2","Antlered",19381,424.489796,1664
"33",2021,"3","Antlered",22556,407.7806123,1598.5
"34",2021,"State","Antlered",98471,1600.510204,6274
"35",2021,"1","Antlered",16946,372.8316327,1461.5
"36",2021,"4","Antlerless",4130,268.877551,1054
"37",2021,"6","Antlerless",5174,339.5408163,1331
"38",2021,"5","Antlerless",6964,389.0306122,1525
"39",2021,"2","Antlerless",18072,504.0816327,1976
"40",2021,"3","Antlerless",16489,485.4591837,1903
"41",2021,"State","Antlerless",72101,1253.061224,4912
"42",2021,"1","Antlerless",13694,399.744898,1567
"43",2020,"4","Antlered",8896,398.9795918,1564
"44",2020,"6","Antlered",11880,440.0510204,1725
"45",2020,"5","Antlered",8887,356.122449,1396
"46",2020,"2","Antlered",25778,423.8520408,1661.5
"47",2020,"3","Antlered",26803,426.9132653,1673.5
"48",2020,"State","Antlered",116092,1638.77551,6424
"49",2020,"1","Antlered",20307,405.2295918,1588.5
"50",2020,"4","Antlerless",4055,528.3163265,2071
"51",2020,"6","Antlerless",5940,625,2450
"52",2020,"5","Antlerless",9391,614.7959184,2410
"53",2020,"2","Antlerless",21299,717.0918368,2811
"54",2020,"3","Antlerless",19241,683.9285715,2681
"55",2020,"State","Antlerless",89553,1555.357143,6097
"56",2020,"1","Antlerless",17718,764.1581633,2995.5
"57",2019,"4","Antlered",7625,316.0714286,1239
"58",2019,"6","Antlered",8826,326.5306122,1280
"59",2019,"5","Antlered",8823,323.9795918,1270
"60",2019,"2","Antlered",19587,309.3112245,1212.5
"61",2019,"3","Antlered",23472,339.5408163,1331
"62",2019,"State","Antlered",94062,1196.428571,4690
"63",2019,"1","Antlered",18229,303.4438776,1189.5
"64",2019,"4","Antlerless",4308,233.4183673,915
"65",2019,"6","Antlerless",3996,318.877551,1250
"66",2019,"5","Antlerless",6922,360.9693878,1415
"67",2019,"2","Antlerless",19252,439.5408164,1723
"68",2019,"3","Antlerless",18754,390.9438776,1532.5
"69",2019,"State","Antlerless",78978,1361.22449,5336
"70",2019,"1","Antlerless",19207,519.7704082,2037.5
"71",2018,"4","Antlered",NA,NA,NA
"72",2018,"6","Antlered",NA,NA,NA
"73",2018,"5","Antlered",NA,NA,NA
"74",2018,"2","Antlered",NA,NA,NA
"75",2018,"3","Antlered",NA,NA,NA
"76",2018,"State","Antlered",NA,NA,NA
"77",2018,"1","Antlered",NA,NA,NA
"78",2018,"4","Antlerless",NA,NA,NA
"79",2018,"6","Antlerless",NA,NA,NA
"80",2018,"5","Antlerless",NA,NA,NA
"81",2018,"2","Antlerless",NA,NA,NA
"82",2018,"3","Antlerless",NA,NA,NA
"83",2018,"State","Antlerless",NA,NA,NA
"84",2018,"1","Antlerless",NA,NA,NA
"85",2017,"4","Antlered",NA,NA,NA
"86",2017,"6","Antlered",NA,NA,NA
"87",2017,"5","Antlered",NA,NA,NA
"88",2017,"2","Antlered",NA,NA,NA
"89",2017,"3","Antlered",NA,NA,NA
"90",2017,"State","Antlered",NA,NA,NA
"91",2017,"1","Antlered",NA,NA,NA
"92",2017,"4","Antlerless",NA,NA,NA
"93",2017,"6","Antlerless",NA,NA,NA
"94",2017,"5","Antlerless",NA,NA,NA
"95",2017,"2","Antlerless",NA,NA,NA
"96",2017,"3","Antlerless",NA,NA,NA
"97",2017,"State","Antlerless",NA,NA,NA
"98",2017,"1","Antlerless",NA,NA,NA
"99",2016,"4","Antlered",NA,NA,NA
"100",2016,"6","Antlered",NA,NA,NA
"101",2016,"5","Antlered",NA,NA,NA
"102",2016,"2","Antlered",NA,NA,NA
"103",2016,"3","Antlered",NA,NA,NA
"104",2016,"State","Antlered",NA,NA,NA
"105",2016,"1","Antlered",NA,NA,NA
"106",2016,"4","Antlerless",NA,NA,NA
"107",2016,"6","Antlerless",NA,NA,NA
"108",2016,"5","Antlerless",NA,NA,NA
"109",2016,"2","Antlerless",NA,NA,NA
"110",2016,"3","Antlerless",NA,NA,NA
"111",2016,"State","Antlerless",NA,NA,NA
"112",2016,"1","Antlerless",NA,NA,NA
"113",2015,"4","Antlered",NA,NA,NA
"114",2015,"6","Antlered",NA,NA,NA
"115",2015,"5","Antlered",NA,NA,NA
"116",2015,"2","Antlered",NA,NA,NA
"117",2015,"3","Antlered",NA,NA,NA
"118",2015,"State","Antlered",NA,NA,NA
"119",2015,"1","Antlered",NA,NA,NA
"120",2015,"4","Antlerless",NA,NA,NA
"121",2015,"6","Antlerless",NA,NA,NA
"122",2015,"5","Antlerless",NA,NA,NA
"123",2015,"2","Antlerless",NA,NA,NA
"124",2015,"3","Antlerless",NA,NA,NA
"125",2015,"State","Antlerless",NA,NA,NA
"126",2015,"1","Antlerless",NA,NA,NA
"127",2014,"4","Antlered",NA,NA,NA
"128",2014,"6","Antlered",NA,NA,NA
"129",2014,"5","Antlered",NA,NA,NA
"130",2014,"2","Antlered",NA,NA,NA
"131",2014,"3","Antlered",NA,NA,NA
"132",2014,"State","Antlered",NA,NA,NA
"133",2014,"1","Antlered",NA,NA,NA
"134",2014,"4","Antlerless",NA,NA,NA
"135",2014,"6","Antlerless",NA,NA,NA
"136",2014,"5","Antlerless",NA,NA,NA
"137",2014,"2","Antlerless",NA,NA,NA
"138",2014,"3","Antlerless",NA,NA,NA
"139",2014,"State","Antlerless",NA,NA,NA
"140",2014,"1","Antlerless",NA,NA,NA
"141",2013,"4","Antlered",NA,NA,NA
"142",2013,"6","Antlered",NA,NA,NA
"143",2013,"5","Antlered",NA,NA,NA
"144",2013,"2","Antlered",NA,NA,NA
"145",2013,"3","Antlered",NA,NA,NA
"146",2013,"State","Antlered",NA,NA,NA
"147",2013,"1","Antlered",NA,NA,NA
"148",2013,"4","Antlerless",NA,NA,NA
"149",2013,"6","Antlerless",NA,NA,NA
"150",2013,"5","Antlerless",NA,NA,NA
"151",2013,"2","Antlerless",NA,NA,NA
"152",2013,"3","Antlerless",NA,NA,NA
"153",2013,"State","Antlerless",NA,NA,NA
"154",2013,"1","Antlerless",NA,NA,NA
"155",2012,"4","Antlered",NA,NA,NA
"156",2012,"6","Antlered",NA,NA,NA
"157",2012,"5","Antlered",NA,NA,NA
"158",2012,"2","Antlered",NA,NA,NA
"159",2012,"3","Antlered",NA,NA,NA
"160",2012,"State","Antlered",NA,NA,NA
"161",2012,"1","Antlered",NA,NA,NA
"162",2012,"4","Antlerless",NA,NA,NA
"163",2012,"6","Antlerless",NA,NA,NA
"164",2012,"5","Antlerless",NA,NA,NA
"165",2012,"2","Antlerless",NA,NA,NA
"166",2012,"3","Antlerless",NA,NA,NA
"167",2012,"State","Antlerless",NA,NA,NA
"168",2012,"1","Antlerless",NA,NA,NA
"169",2011,"4","Antlered",NA,NA,NA
"170",2011,"6","Antlered",NA,NA,NA
"171",2011,"5","Antlered",NA,NA,NA
"172",2011,"2","Antlered",NA,NA,NA
"173",2011,"3","Antlered",NA,NA,NA
"174",2011,"State","Antlered",NA,NA,NA
"175",2011,"1","Antlered",NA,NA,NA
"176",2011,"4","Antlerless",NA,NA,NA
"177",2011,"6","Antlerless",NA,NA,NA
"178",2011,"5","Antlerless",NA,NA,NA
"179",2011,"2","Antlerless",NA,NA,NA
"180",2011,"3","Antlerless",NA,NA,NA
"181",2011,"State","Antlerless",NA,NA,NA
"182",2011,"1","Antlerless",NA,NA,NA
"183",2010,"4","Antlered",NA,NA,NA
"184",2010,"6","Antlered",NA,NA,NA
"185",2010,"5","Antlered",NA,NA,NA
"186",2010,"2","Antlered",NA,NA,NA
"187",2010,"3","Antlered",NA,NA,NA
"188",2010,"State","Antlered",NA,NA,NA
"189",2010,"1","Antlered",NA,NA,NA
"190",2010,"4","Antlerless",NA,NA,NA
"191",2010,"6","Antlerless",NA,NA,NA
"192",2010,"5","Antlerless",NA,NA,NA
"193",2010,"2","Antlerless",NA,NA,NA
"194",2010,"3","Antlerless",NA,NA,NA
"195",2010,"State","Antlerless",NA,NA,NA
"196",2010,"1","Antlerless",NA,NA,NA
"197",2009,"4","Antlered",NA,NA,NA
"198",2009,"6","Antlered",NA,NA,NA
"199",2009,"5","Antlered",NA,NA,NA
"200",2009,"2","Antlered",NA,NA,NA
"201",2009,"3","Antlered",NA,NA,NA
"202",2009,"State","Antlered",NA,NA,NA
"203",2009,"1","Antlered",NA,NA,NA
"204",2009,"4","Antlerless",NA,NA,NA
"205",2009,"6","Antlerless",NA,NA,NA
"206",2009,"5","Antlerless",NA,NA,NA
"207",2009,"2","Antlerless",NA,NA,NA
"208",2009,"3","Antlerless",NA,NA,NA
"209",2009,"State","Antlerless",NA,NA,NA
"210",2009,"1","Antlerless",NA,NA,NA
"211",2008,"4","Antlered",NA,NA,NA
"212",2008,"6","Antlered",NA,NA,NA
"213",2008,"5","Antlered",NA,NA,NA
"214",2008,"2","Antlered",NA,NA,NA
"215",2008,"3","Antlered",NA,NA,NA
"216",2008,"State","Antlered",NA,NA,NA
"217",2008,"1","Antlered",NA,NA,NA
"218",2008,"4","Antlerless",NA,NA,NA
"219",2008,"6","Antlerless",NA,NA,NA
"220",2008,"5","Antlerless",NA,NA,NA
"221",2008,"2","Antlerless",NA,NA,NA
"222",2008,"3","Antlerless",NA,NA,NA
"223",2008,"State","Antlerless",NA,NA,NA
"224",2008,"1","Antlerless",NA,NA,NA
"225",2007,"4","Antlered",NA,NA,NA
"226",2007,"6","Antlered",NA,NA,NA
"227",2007,"5","Antlered",NA,NA,NA
"228",2007,"2","Antlered",NA,NA,NA
"229",2007,"3","Antlered",NA,NA,NA
"230",2007,"State","Antlered",NA,NA,NA
"231",2007,"1","Antlered",NA,NA,NA
"232",2007,"4","Antlerless",NA,NA,NA
"233",2007,"6","Antlerless",NA,NA,NA
"234",2007,"5","Antlerless",NA,NA,NA
"235",2007,"2","Antlerless",NA,NA,NA
"236",2007,"3","Antlerless",NA,NA,NA
"237",2007,"State","Antlerless",NA,NA,NA
"238",2007,"1","Antlerless",NA,NA,NA
"239",2006,"4","Antlered",NA,NA,NA
"240",2006,"6","Antlered",NA,NA,NA
"241",2006,"5","Antlered",NA,NA,NA
"242",2006,"2","Antlered",NA,NA,NA
"243",2006,"3","Antlered",NA,NA,NA
"244",2006,"State","Antlered",NA,NA,NA
"245",2006,"1","Antlered",NA,NA,NA
"246",2006,"4","Antlerless",NA,NA,NA
"247",2006,"6","Antlerless",NA,NA,NA
"248",2006,"5","Antlerless",NA,NA,NA
"249",2006,"2","Antlerless",NA,NA,NA
"250",2006,"3","Antlerless",NA,NA,NA
"251",2006,"State","Antlerless",NA,NA,NA
"252",2006,"1","Antlerless",NA,NA,NA
"253",2005,"4","Antlered",NA,NA,NA
"254",2005,"6","Antlered",NA,NA,NA
"255",2005,"5","Antlered",NA,NA,NA
"256",2005,"2","Antlered",NA,NA,NA
"257",2005,"3","Antlered",NA,NA,NA
"258",2005,"State","Antlered",NA,NA,NA
"259",2005,"1","Antlered",NA,NA,NA
"260",2005,"4","Antlerless",NA,NA,NA
"261",2005,"6","Antlerless",NA,NA,NA
"262",2005,"5","Antlerless",NA,NA,NA
"263",2005,"2","Antlerless",NA,NA,NA
"264",2005,"3","Antlerless",NA,NA,NA
"265",2005,"State","Antlerless",NA,NA,NA
"266",2005,"1","Antlerless",NA,NA,NA
