"","DMU","Year","Antlerless","Antlered"
"1","Unit 1","2005",24410,22837
"2","Unit 1","2006",26740,25931
"3","Unit 1","2007",26558,22801
"4","Unit 1","2008",26491,25191
"5","Unit 1","2009",24665,24066
"6","Unit 1","2010",25677,22649
"7","Unit 1","2011",25747,23680
"8","Unit 1","2012",28942,25263
"9","Unit 1","2013",24691,23139
"10","Unit 1","2014",23621,23843
"11","Unit 1","2015",26312,19860
"12","Unit 1","2016",23064,20306
"13","Unit 1","2017",20851,19801
"14","Unit 1","2018",22395,17325
"15","Unit 1","2019",16747,16998
"16","Unit 1","2020",21305,21737
"17","Unit 1","2021",15185,16477
"18","Unit 1","2022",20605,20780
"19","Unit 1","2023",18129,19844
"20","Unit 2","2005",27469,23485
"21","Unit 2","2006",28078,26578
"22","Unit 2","2007",26459,21610
"23","Unit 2","2008",22529,22061
"24","Unit 2","2009",22461,23218
"25","Unit 2","2010",23582,22829
"26","Unit 2","2011",23761,24264
"27","Unit 2","2012",25497,25660
"28","Unit 2","2013",25208,24782
"29","Unit 2","2014",24199,25341
"30","Unit 2","2015",27474,23348
"31","Unit 2","2016",22949,23624
"32","Unit 2","2017",20913,23402
"33","Unit 2","2018",24402,21602
"34","Unit 2","2019",20404,19580
"35","Unit 2","2020",23456,24685
"36","Unit 2","2021",17427,20091
"37","Unit 2","2022",25859,23856
"38","Unit 2","2023",19993,21449
"39","Unit 3","2005",15110,14960
"40","Unit 3","2006",16329,16233
"41","Unit 3","2007",14883,13737
"42","Unit 3","2008",13999,14001
"43","Unit 3","2009",12880,13898
"44","Unit 3","2010",13255,14028
"45","Unit 3","2011",12727,14790
"46","Unit 3","2012",12794,15028
"47","Unit 3","2013",13023,14762
"48","Unit 3","2014",12782,15025
"49","Unit 3","2015",13763,14381
"50","Unit 3","2016",11789,13829
"51","Unit 3","2017",10922,14214
"52","Unit 3","2018",11804,13103
"53","Unit 3","2019",10945,13649
"54","Unit 3","2020",12441,15866
"55","Unit 3","2021",9752,13833
"56","Unit 3","2022",12452,15903
"57","Unit 3","2023",12074,16010
"58","Unit 4","2005",4586,8136
"59","Unit 4","2006",5172,9123
"60","Unit 4","2007",5508,8116
"61","Unit 4","2008",4995,8327
"62","Unit 4","2009",5232,9176
"63","Unit 4","2010",5370,7897
"64","Unit 4","2011",5193,9079
"65","Unit 4","2012",5870,9128
"66","Unit 4","2013",6520,8471
"67","Unit 4","2014",5335,8289
"68","Unit 4","2015",6325,9188
"69","Unit 4","2016",6269,8316
"70","Unit 4","2017",4099,6495
"71","Unit 4","2018",4543,7206
"72","Unit 4","2019",4442,6940
"73","Unit 4","2020",4658,7564
"74","Unit 4","2021",4213,7442
"75","Unit 4","2022",5118,7956
"76","Unit 4","2023",5202,8416
"77","Unit 5","2005",6141,7203
"78","Unit 5","2006",6809,7565
"79","Unit 5","2007",6454,7309
"80","Unit 5","2008",6730,7511
"81","Unit 5","2009",6242,7248
"82","Unit 5","2010",7495,7416
"83","Unit 5","2011",7157,7805
"84","Unit 5","2012",7386,7927
"85","Unit 5","2013",7544,6871
"86","Unit 5","2014",7017,6950
"87","Unit 5","2015",7025,7212
"88","Unit 5","2016",7131,6976
"89","Unit 5","2017",5819,6603
"90","Unit 5","2018",6063,6489
"91","Unit 5","2019",6199,6901
"92","Unit 5","2020",6703,7503
"93","Unit 5","2021",5981,7279
"94","Unit 5","2022",7248,8251
"95","Unit 5","2023",7391,8878
"96","Unit 6","2005",4143,7448
"97","Unit 6","2006",4850,8069
"98","Unit 6","2007",4440,7156
"99","Unit 6","2008",4592,7400
"100","Unit 6","2009",4432,8281
"101","Unit 6","2010",5098,7484
"102","Unit 6","2011",5073,8391
"103","Unit 6","2012",5175,8292
"104","Unit 6","2013",5441,7960
"105","Unit 6","2014",4739,7778
"106","Unit 6","2015",4612,7937
"107","Unit 6","2016",5298,8068
"108","Unit 6","2017",4671,8009
"109","Unit 6","2018",4974,7692
"110","Unit 6","2019",4504,7807
"111","Unit 6","2020",5262,9024
"112","Unit 6","2021",5163,9408
"113","Unit 6","2022",5642,9558
"114","Unit 6","2023",5608,9837
"115",NA,"2014",2,1
"116",NA,"2017",NA,1
"117",NA,"2018",19,6
"118",NA,"2019",12,4
"119",NA,"2020",12,6
"120",NA,"2021",3,2
"121",NA,"2022",1,3
