DMU,County
Unit.1,Lake
Unit.2,Stewart
Unit.3,Macon
Unit.4,Pickett
Unit.5,Knox
Unit.6,Johnson
Unit.1,Obion
Unit.2,Montgomery
Unit.3,Clay
Unit.4,Fentress
Unit.5,Loudon
Unit.6,Sullivan
Unit.1,Weakley
Unit.2,Robertson
Unit.3,Trousdale
Unit.4,Scott
Unit.5,Roane
Unit.6,Carter
Unit.1,Henry
Unit.2,Sumner
Unit.3,Wilson
Unit.4,Campbell
Unit.5,Rhea
Unit.6,Washington
Unit.1,Dyer
Unit.2,Houston
Unit.3,Smith
Unit.4,Claiborne
Unit.5,Meigs
Unit.6,Unicoi
Unit.1,Gibson
Unit.2,Dickson
Unit.3,Cannon
Unit.4,Hancock
Unit.5,McMinn
Unit.6,Greene
Unit.1,Carroll
Unit.2,Humphreys
Unit.3,Jackson
Unit.4,Grainger
Unit.5,Bradley
Unit.6,Hawkins
Unit.1,Crockett
Unit.2,Hickman
Unit.3,Overton
Unit.4,Union
Unit.5,Hamilton
Unit.6,Hamblen
Unit.1,Lauderdale
Unit.2,Williamson
Unit.3,Putnam
Unit.4,Anderson
Unit.5,Marion
Unit.6,Jefferson
Unit.1,Tipton
Unit.2,Cheatham
Unit.3,DeKalb
Unit.4,Morgan
Unit.6,Cocke
Unit.1,Haywood
Unit.2,Davidson
Unit.3,White
Unit.4,Cumberland
Unit.6,Sevier
Unit.1,Madison
Unit.2,Maury
Unit.3,Van Buren
Unit.4,Bledsoe
Unit.6,Blount
Unit.1,Chester
Unit.2,Marshall
Unit.3,Coffee
Unit.4,Grundy
Unit.6,Monroe
Unit.1,Shelby
Unit.2,Giles
Unit.3,Warren
Unit.4,Sequatchie
Unit.6,Polk
Unit.1,Fayette
Unit.2,Lincoln
Unit.3,Bedford
Unit.1,Hardeman
Unit.2,Perry
Unit.3,Rutherford
Unit.1,McNairy
Unit.2,Lewis
Unit.3,Moore
Unit.1,Henderson
Unit.2,Lawrence
Unit.3,Franklin
Unit.1,Hardin
Unit.2,Wayne
Unit.1,Benton
Unit.1,Decatur
