"",".variable","DMU","Year","Age","Sex","a","k","s","i",".value",".lower",".upper",".width",".point",".interval"
"1","Hest","E1",2005,"F","F",1,1,1,1,1232.99199986582,911.144375614444,2050.5190152508,0.9,"median","qi"
"2","HS","E1",2005,"F","F",1,1,1,1,0.943426184337061,0.91452264109071,0.972051836136931,0.9,"median","qi"
"3","N","E1",2005,"F","F",1,1,1,1,24743,18910,35607.05,0.9,"median","qi"
"4","NS","E1",2005,"F","F",1,1,1,1,0.903482257348682,0.851697467747446,0.958865224113456,0.9,"median","qi"
"5","Report","E1",2005,"F","F",1,1,1,1,0.817036064525585,0.463114789823606,0.968011154584738,0.9,"median","qi"
"6","Hest","E2",2005,"F","F",1,1,1,2,1096.27247735363,821.317039651856,1652.43940431384,0.9,"median","qi"
"7","HS","E2",2005,"F","F",1,1,1,2,0.961651088251861,0.947899441122977,0.976760340687849,0.9,"median","qi"
"8","N","E2",2005,"F","F",1,1,1,2,31204,21887.95,44029.15,0.9,"median","qi"
"9","NS","E2",2005,"F","F",1,1,1,2,0.854387114245317,0.640426403058031,0.962731719133279,0.9,"median","qi"
"10","Report","E2",2005,"F","F",1,1,1,2,0.618653513885609,0.449219245330788,0.814375901008451,0.9,"median","qi"
"11","Hest","E3",2005,"F","F",1,1,1,3,2252.22407239706,1558.56588882389,3219.86105654733,0.9,"median","qi"
"12","HS","E3",2005,"F","F",1,1,1,3,0.941485626741777,0.884845367687842,0.957877709852975,0.9,"median","qi"
"13","N","E3",2005,"F","F",1,1,1,3,34943,23748,48708.05,0.9,"median","qi"
"14","NS","E3",2005,"F","F",1,1,1,3,0.808911744953822,0.719929288063197,0.874232006410397,0.9,"median","qi"
"15","Report","E3",2005,"F","F",1,1,1,3,0.497284072784417,0.337003866999735,0.721901268434392,0.9,"median","qi"
"16","Hest","M1",2005,"F","F",1,1,1,4,3844.34864061127,3015.49708592446,5277.70180314283,0.9,"median","qi"
"17","HS","M1",2005,"F","F",1,1,1,4,0.942883105301595,0.924797934440751,0.961559030192225,0.9,"median","qi"
"18","N","M1",2005,"F","F",1,1,1,4,63048,44999,121225,0.9,"median","qi"
"19","NS","M1",2005,"F","F",1,1,1,4,0.652867862263472,0.50387256593007,0.757153032185959,0.9,"median","qi"
"20","Report","M1",2005,"F","F",1,1,1,4,0.85863456015145,0.546305471111414,0.942703389548952,0.9,"median","qi"
"21","Hest","M2",2005,"F","F",1,1,1,5,2757.59498003668,2095.71541571868,4311.11993310516,0.9,"median","qi"
"22","HS","M2",2005,"F","F",1,1,1,5,0.962594169343709,0.951755159071148,0.973176165289945,0.9,"median","qi"
"23","N","M2",2005,"F","F",1,1,1,5,83972,53134,104772,0.9,"median","qi"
"24","NS","M2",2005,"F","F",1,1,1,5,0.649544846081471,0.513580453415509,0.867276299224857,0.9,"median","qi"
"25","Report","M2",2005,"F","F",1,1,1,5,0.761053015708659,0.560693670738508,0.878748278297476,0.9,"median","qi"
"26","Hest","M3",2005,"F","F",1,1,1,6,1830.25171913296,1377.38268779354,7856.54173342577,0.9,"median","qi"
"27","HS","M3",2005,"F","F",1,1,1,6,0.948452821587831,0.750578517031307,0.962797008900738,0.9,"median","qi"
"28","N","M3",2005,"F","F",1,1,1,6,34568,25314.95,42289,0.9,"median","qi"
"29","NS","M3",2005,"F","F",1,1,1,6,0.892469271438353,0.776464045215552,0.967473374796558,0.9,"median","qi"
"30","Report","M3",2005,"F","F",1,1,1,6,0.84095663443565,0.166349512513769,0.944800145400731,0.9,"median","qi"
"31","Hest","M4",2005,"F","F",1,1,1,7,3012.77878707081,2273.235595352,3835.41511269358,0.9,"median","qi"
"32","HS","M4",2005,"F","F",1,1,1,7,0.949457791187393,0.928769620701107,0.961605446698581,0.9,"median","qi"
"33","N","M4",2005,"F","F",1,1,1,7,54260,43105,83258.05,0.9,"median","qi"
